name,ShortName,ModeAndPID,Equation,Min Value,Max Value,Units,Header
"PR_НАПРЯЖЕНИЕ АККУМУЛЯТОРНОЙ БАТАРЕИ 12 В","PR001","21C1","B*0.0625","9","15.8","V","745"
"PR_НАРУЖНАЯ ТЕМПЕРАТУРА","PR002","21C1","A-40","-40","215","*C","745"
"PR_СКОРОСТЬ АВТОМОБИЛЯ","PR008","21C7","0.01*(D*256+C)","0","255","км/час","745"
"PR_КОЛИЧЕСТВО ЗАПРОГРАММИРОВАННЫХ КАРТОЧЕК","PR013","2108","A","0","4","","745"
"ST_КОМПЛЕКТ КЛАПАНОВ РАСПОЗНАН","ET001","2161","A","0","0","","745"
"ST_ETAT PRIVE 1","ET002","216F","A","0","0","","745"
"ST_ЧАСТОТА ЦЭКБС (В МГц)","ET195","2180","V","0","0","","745"
"ST_ТИП РАДИОЧАСТОТНОЙ АНТЕННЫ ЦЭКБС","ET205","2180","V","0","0","","745"
"ST_КАРТОЧКА НЕ ЗАПРОГРАММИРОВАНА","ET011","2106","{A:6}","0","0","","745"
"ST_ТИП КАРТОЧКИ","ET009","2106","{I:6}","0","0","","745"
"ST_КАРТОЧКА ЗАРЕГИСТРИРОВАНА ДЛЯ АВТОМОБИЛЯ","ET012","2106","{J:6}","0","0","","745"
"ST_В ЦЕНТР. КОММ. БЛОКЕ ДАННЫЕ ОТСУТСТВУЮТ","ET008","2106","{J:7}","0","0","","745"
"ST_СТАТУС КАРТОЧКИ","ET007","2106","B","0","0","","745"
"ST_УПРАВЛЕНИЕ ОБОГРЕВОМ ЗАДНЕГО СТЕКЛА","ET026","21C1","{H:1}","0","0","","745"
"ST_ЗАПРОС УСКОРЕННОГО ХОЛОСТОГО ХОДА ДЛЯ РОС","ET031","21C1","{I:6}","0","0","","745"
"ST_УБИРАЕМАЯ КРЫША","ET025","21C1","(J&3)","0","0","","745"
"ST_ДВЕРИ ЗАДКА/КРЫШКИ БАГАЖНИКА","ET050","21C5","{A:4}","0","0","","745"
"ST_ОТКРЫВАЮЩЕЕСЯ ЗАДНЕЕ ОКНО","ET041","21C5","{A:5}","0","0","","745"
"ST_ДВЕРЬ ВОДИТЕЛЯ","ET053","21C5","{A:0}","0","0","","745"
"ST_РАЗР НА АВТ ЗАПИР ДВЕР В ДВИЖ ОТ ЦЕНТ ЗАМ","ET043","21C5","{C:7}","0","0","","745"
"ST_КЛАВИША ЭЛЕКТРИЧЕСКОЙ БЛОКИРОВКИ ДВЕРЕЙ","ET044","21C5","{C:4}","0","0","","745"
"ST_КАДР ДАННЫХ R.F. ПРИНЯТ","ET045","21C5","{E:0}","0","0","","745"
"ST_НАЖАТИЕ НА КНОПКУ КАРТОЧКИ ПРИНЯТО","ET066","21C5","{E:1}","0","0","","745"
"ST_НАЖАТИЕ НА КНОПКУ РАСПОЗНАВАНИЯ КАРТОЧКИ","ET067","21C5","{E:2}","0","0","","745"
"ST_КАРТОЧКА - "СВОБОДНЫЕ РУКИ" ОПОЗНАНА","ET065","21C5","{E:3}","0","0","","745"
"ST_ИСТОЧНИК ПОСЛЕДНЕГО ЗАПИРАНИЯ","ET068","21C5","F","0","0","","745"
"ST_ИСТОЧНИК ПОСЛЕДНЕГО ОТПИРАНИЯ","ET069","21C5","F","0","0","","745"
"ST_КНОПКА ЗАПУСКА ДВИГАТЕЛЯ","ET070","21C6","{A:6}","0","0","","745"
"ST_ИМОБИЛАЙЗЕР","ET046","21C6","{A:0}","0","0","","745"
"ST_ЧИСТЫЙ ЗАПОР РУЛЕВОЙ КОЛОНКИ","ET071","21C6","{A:3}","0","0","","745"
"ST_ИНФОРМАЦИЯ ДАТЧИКА ЗАПОРА РУЛ. КОЛОНКИ","ET073","21C6","(C&7)","0","0","","745"
"ST_+ ПОСЛЕ ВКЛЮЧЕНИЯ ЗАЖ. ПРИСУТСТВУЕТ","ET049","21C7","{A:3}","0","0","","745"
"ST_+ РАБОЧ. ПИТАНИЕ ПРИСУТСТВУЕТ","ET075","21C7","{A:5}","0","0","","745"
"ST_ЗАПРОС ОМЫВАТЕЛЯ ПЕРЕДНЕГО СТЕКЛА","ET078","2111","{A:6}","0","0","","745"
"ST_ЗАПРОС ОМЫВАТЕЛЯ ЗАДНЕГО СТЕКЛА","ET079","2111","{B:1}","0","0","","745"
"ST_ЗАПРОС ЗАДНИХ ПРОТИВОТУМАННЫХ ФОНАРЕЙ","ET082","2111","{C:6}","0","0","","745"
"ST_ЗАПРОС ЛЕВОГО УКАЗАТЕЛЯ ПОВОРОТА","ET083","2111","{D:0}","0","0","","745"
"ST_ЗАПРОС ПРАВОГО УКАЗАТЕЛЯ ПОВОРОТА","ET084","2111","{D:1}","0","0","","745"
"ST_РАЗР. ИМПУЛЬС. СТЕКЛОПОДЪЕМ./ЛЮК КРЫШИ.","ET087","2112","{A:3}","0","0","","745"
"ST_КНОПКА АВАРИЙНОЙ СИГНАЛИЗАЦИИ","ET085","2111","{D:2}","0","0","","745"
"ST_ЗАПРОС ОЧИСТИТЕЛЯ ЗАДНЕГО СТЕКЛА","ET080","2111","{B:0}","0","0","","745"
"ST_ПОЛОЖ. ОСТ. ПРЕР. РЕЖ. СТЕКЛООЧ. ЗАДН. СТ","ET097","2111","{B:2}","0","0","","745"
"ST_КНОПКА БОРТОВОГО КОМПЬЮТЕРА","ET098","2111","{I:5}","0","0","","745"
"ST_ВКЛЮЧЕН ЗАДНИЙ ХОД","ET109","2111","{H:5}","0","0","","745"
"ST_НЕ МЕНЕЕ 2 ИДЕНТИЧН. КОДОВ / ЛЕТН. КОМПЛ.","ET103","2162","{A:0}","0","0","","745"
"ST_НЕ МЕНЕЕ 2 ИДЕНТИЧН. КОДОВ / ЗИМН. КОМПЛ.","ET104","2162","{A:2}","0","0","","745"
"ST_ВВОД 4 КОДОВ ЛЕТН. КОМПЛ. НЕ ОСУЩЕСТВЛЕН","ET105","2162","{A:1}","0","0","","745"
"ST_ВВОД 4 КОДОВ ЗИМН. КОМПЛ. НЕ ОСУЩЕСТВЛЕН","ET106","2162","{A:3}","0","0","","745"
"ST_ЗАПРОС ОТ БУС К СИСТ. ВПРЫСКА ИЛИ БЗК","ET110","21C7","(B&3)","0","0","","745"
"ST_КОМАНДА НАРУЖНОГО ОСВЕЩЕНИЯ","ET112","2112","{B:5}","0","0","","745"
"ST_КОД КАРТОЧКИ ПОЛУЧЕН","ET116","2106","{J:0}","0","0","","745"
"ST_КОД КАРТОЧКИ ПОДТВЕРЖДЕН","ET117","2106","{J:1}","0","0","","745"
"ST_ЗАПРОС ОТ ЦКБ К ЗАМКУ РУЛЕВОЙ КОЛОНКИ","ET119","21AA","S","0","0","","745"
"ST_ETAT PRIVE 24","ET269","2106","{B:0}","0","0","","745"
"ST_ETAT PRIVE 23","ET274","2106","{B:6}","0","0","","745"
"ST_ETAT PRIVE 7","ET210","2112","{D:1}","0","0","","745"
"ST_ТИП АВТОМОБИЛЯ","LC011","2110","{E:1}","0","0","","745"
"ST_ТИП КОРОБКИ ПЕРЕДАЧ","LC005","2110","{B:6}","0","0","","745"
"ST_ТИП УПРАВЛЕНИЯ","LC014","2110","{B:0}","0","0","","745"
"ST_ТИП ДВИГАТЕЛЯ","LC023","21C0","C","0","0","","745"
"ST_ФУНКЦИЯ КОНТРОЛЯ ДАВЛЕНИЯ В ШИНАХ","LC017","2110","{D:1}","0","0","","745"
"ST_ТИП НАГРЕВАТЕЛЬНЫХ РЕЗИСТОРОВ","LC030","21C0","B","0","0","","745"
"ST_ТИП КОНДИЦИОНЕРА","LC013","2113","(A&3)","0","0","","745"
"ST_ДАТЧИК СВЕТА","LC007","2110","{C:7}","0","0","","745"
"ST_ТИП ВЕТРОВОГО СТЕКЛА","LC021","2113","(J&3)","0","0","","745"
"ST_СВЕТ ДНЕВНОГО ДВИЖЕНИЯ","LC008","2110","{D:0}","0","0","","745"
"ST_ПЕРЕДНИЕ ПРОТИВОТУМАННЫЕ ФАРЫ","LC015","2110","{C:6}","0","0","","745"
"ST_ДАТЧИК ДОЖДЯ","LC006","2110","{C:2}","0","0","","745"
"ST_ДАТЧИК НАРУЖНОЙ ТЕМПЕРАТУРЫ","LC002","2113","U","0","0","","745"
"ST_ВЫБОР. ОТКРЫВАНИЕ ДВЕРЕЙ-КАПОТА-БАГАЖНИКА","LC029","2110","{B:2}","0","0","","745"
"ST_СИСТЕМА ОБЕСПЕЧЕНИЯ БЕЗОПАСНОСТИ ДЕТЕЙ","LC035","2110","A","0","0","","745"
"ST_СУПЕРЗАПИРАНИЕ","LC003","2110","{B:3}","0","0","","745"
"ST_ФУНКЦИЯ КАРТОЧКИ "СЕРВИС"","LC016","2110","H","0","0","","745"
"ST_ЗАЩИТА ПО ПЕРИМЕТРУ ЗАВОДСКОЙ УСТАНОВКИ","LC020","2110","D","0","0","","745"
"ST_ИМПУЛЬСНЫЙ(Е) СТЕКЛОПОДЪЕМНИК(И)","LC004","2113","U","0","0","","745"
"ST_ТИП ШИНЫ ДЛЯ PAX SYSTEM","LC010","2110","{D:2}","0","0","","745"
"ST_АВТОМАТИЧЕСКОЕ ПОВТОРНОЕ ЗАПИРАНИЕ","LC012","2110","{E:7}","0","0","","745"
"ST_ФУНКЦИЯ ЗАДЕРЖКИ ВЫКЛ. НАРУЖН. ОСВ. ПРИБ.","LC025","2110","{H:1}","0","0","","745"
"ST_ВКЛЮЧЕНИЕ АВАРИЙНОЙ СИГНАЛИЗ. ПРИ УДАРЕ","LC009","2110","{D:3}","0","0","","745"
"ST_ВКЛЮЧЕНИЕ АВАР. СИГНАЛИЗАЦИИ СИСТЕМОЙ АБС","LC018","2110","{D:4}","0","0","","745"
"ST_УПРАВЛЕНИЕ ФИКС. ПОЛОЖ. ЗАДНЕГО СТЕКЛООЧ.","LC019","2110","{G:3}","0","0","","745"
"ST_УРОВЕНЬ ЦЕНТРАЛЬНОГО БЛОКА САЛОНА","ID029","2180","V","0","0","","745"
"ST_ВЕРСИЯ ДИАГНОСТИКИ","MAS10","21C0","B","0","0","","745"
"ST_ВЕРСИЯ ДИАГНОСТИКИ","MAS11","2113","(A&3)","0","0","","745"
"ST_ВЕРСИЯ ДИАГНОСТИКИ","MAS12","2113","U","0","0","","745"
"ST_ВЕРСИЯ ДИАГНОСТИКИ","MAS13","2110","D","0","0","","745"
"ST_ВЕРСИЯ ДИАГНОСТИКИ","MAS14","2110","{C:2}","0","0","","745"
"ST_ВЕРСИЯ ДИАГНОСТИКИ","MAS15","2110","A","0","0","","745"
"ST_ВЕРСИЯ ДИАГНОСТИКИ","MAS16","2110","{B:6}","0","0","","745"
"ST_ВЕРСИЯ ДИАГНОСТИКИ","MAS17","2110","{D:1}","0","0","","745"
"ST_ВЕРСИЯ ДИАГНОСТИКИ","MAS18","2110","{B:3}","0","0","","745"
"ST_ВЕРСИЯ ДИАГНОСТИКИ","MAS19","2110","{C:2}","0","0","","745"
"ST_ВЕРСИЯ ДИАГНОСТИКИ","MAS20","2110","{C:7}","0","0","","745"
"ST_ВЕРСИЯ ДИАГНОСТИКИ","MAS21","2110","{B:6}","0","0","","745"
"ST_ВЕРСИЯ ДИАГНОСТИКИ","MAS22","2110","{C:6}","0","0","","745"
"ST_ВЕРСИЯ ДИАГНОСТИКИ","MAS23","2110","D","0","0","","745"
"ST_ВЕРСИЯ ДИАГНОСТИКИ","MAS3","2110","{C:0}","0","0","","745"
"ST_ВЕРСИЯ ДИАГНОСТИКИ","MAS4","2110","{C:1}","0","0","","745"
"ST_ВЕРСИЯ ДИАГНОСТИКИ","MAS7","2113","U","0","0","","745"
"ST_ВЕРСИЯ ДИАГНОСТИКИ","MAS8","2113","U","0","0","","745"
"ST_ВЕРСИЯ ДИАГНОСТИКИ","MAS9","2113","(A&3)","0","0","","745"
