name,ShortName,ModeAndPID,Equation,Min Value,Max Value,Units,Header
"PR_ЗАРЯД ОТ ГЕНЕРАТОРА","PR010","2102","0.390625*A"," 0"," 0","%","74D"
"ST_ИНДИК. АККУМ.","ET001","2102","{C:7}","0","0","","74D"
"ST_ЗАЩИТА ПЕРЕДНЕГО СТЕКЛООЧИСТИТЕЛЯ","ET002","2103","A","0","0","","74D"
"ST_+ПОСЛЕ ВКЛ.З.","ET026","2102","{B:4}","0","0","","74D"
"ST_ВКЛЮЧЕН ЗАДНИЙ ХОД","ET004","2102","((B>2)&3)","0","0","","74D"
"ST_ПОЛОЖЕНИЕ РЫЧАГА ПЕРЕКЛЮЧЕНИЯ ПЕРЕДАЧ","ET005","2102","B","0","0","","74D"
"ST_КОНТАКТ ДАВЛЕНИЯ МАСЛА","ET027","2102","((B>6)&3)","0","0","","74D"
"ST_УСЛОВИЯ ЗАПУСКА ДВИГАТЕЛЯ ВЫПОЛНЕНЫ","ET010","21C7","(A&3)","0","0","","74D"
"ST_ТИП ГЕНЕРАТОРА ПЕР. ТОКА","LC001","2101","A","0","0","","74D"
"ST_ИНВЕРСИЯ НАПРАВЛ. РЕЗИН. ЩЕТОК СТЕКЛООЧ.","LC002","2101","{J:7}","0","0","","74D"
"ST_УРОВЕНЬ БЛОКА ЗАЩИТЫ И КОММУТАЦИИ","ID009","2180","L","0","0","","74D"
