name,ShortName,ModeAndPID,Equation,Min Value,Max Value,Units,Header
"PR_НАПРЯЖЕНИЕ ПИТАНИЯ КОМПЬЮТЕРА","PR071","21A0","0.03215*A+8","8","16","V","7E0"
"PR_АТМОСФЕРНОЕ ДАВЛЕНИЕ","PR035","21A0","1047-(3.7*F)","700","1047","мбар","7E0"
"PR_ДАВЛЕНИЕ ВПУСКА","PR032","21A0","0.0578*(D*256+E)+103","114","1048","мбар","7E0"
"PR_ТЕМПЕРАТУРА ВОДЫ","PR064","21A0","0.625*B-40","-40","120","*C","7E0"
"PR_ТЕМПЕРАТУРА ВОЗДУХА","PR058","21A0","0.625*C-40","-40","120","*C","7E0"
"PR_СКОРОСТИ АВТОМОБИЛЯ","PR089","21A0","L","0","0","км/час","7E0"
"PR_РЕЖИМ ДВИГАТЕЛЯ","PR055","21A0","(G*256+H)","500","6500","об/мин","7E0"
"PR_КОРРЕКЦИЯ РЕЖИМА ХОЛОСТОГО ХОДА","PR014","21A0","16*K","0","225","об/мин","7E0"
"PR_УСТАНОВКА РЕГУЛИРОВКИ ХОЛ. ХОДА","PR010","21A0","(I*256+J)","752","1216","об/мин","7E0"
"PR_ЗНАЧЕНИЕ ВВОДА ПАРАМЕТРОВ РЕГУЛ. Х. ХОДА","PR090","21A3","(1.0*(signed(H)*256+I))/100","-12","12","%","7E0"
"PR_ТЕОРЕТИЧ. ЦИКЛ. ОТН. ОТКР. РЕГУЛИР. Х.Х.","PR091","21A3","0.0015259*(L*256+M)","5","50","%","7E0"
"PR_ИНТЕГРАЛЬН. КОРРЕКЦИЯ РЕГУЛИРОВКИ ХОЛ. Х.","PR141","21A9","256*(1.0*I)/100","4.7","32","%","7E0"
"PR_КОРРЕКЦИЯ СОСТАВА СМЕСИ","PR138","21A3","0.001526*(N*256+O)","0","100","%","7E0"
"PR_СМЕЩ. ПАРАМ. САМОАД. КОРР. СОСТ. СМЕСИ","PR144","21A3","J","0","0","","7E0"
"PR_УСИЛЕНИЕ ПАР. САМОАД. КОРР. СОСТ. СМЕСИ","PR143","21A3","K","0","0","","7E0"
"PR_ИЗМЕРЕННОЕ ПОЛОЖЕНИЕ РЕГУЛЯТОРА AAC","PR093","21A3","0.375*S","0","45","*V","7E0"
"PR_СЦО УПР. СМЕЩ. ФАЗ ГАЗОРАС. ВПУС. КЛ.","PR876","21A3","(1.0*(100*((Q*256+R))))/1024","0","100","%","7E0"
"PR_ОПЕРЕЖЕНИЕ","PR001","21A0","0.375*P-23.625","0","0","*V","7E0"
"PR_РЕГУЛИРОВКА ДЛЯ УСТР. ДЕТОНАЦИЙ","PR095","21A0","0.375*Q","0","8","*V","7E0"
"PR_ПОЛОЖЕНИЕ ПЕДАЛИ АКСЕЛЕРАТОРА","PR030","21A2","(1.0*(100*J))/256","0","100","%","7E0"
"PR_СЧИТАННОЕ ЗНАЧ. ОТПУЩ. ПЕДАЛИ","PR112","21A2","(1.0*(100*M))/256","0","15.65","%","7E0"
"PR_ВВЕД.ЗНАЧ. КРАЙН.ВЕРХН.П. ДР.КЛ. С ПРИВ.","PR096","21A2","0.4*E","87.9","90","%","7E0"
"PR_ВВЕД.ЗНАЧ. КРАЙН.НИЖН.П. ДР.КЛ. С ПРИВ.","PR097","21A2","0.4*D","5.96","13.96","%","7E0"
"PR_ПОЛОЖЕНИЕ ПЕДАЛИ (ПОЛОСА 1)","PR028","21A2","100*(1.0*K)/256","9.96","95","%","7E0"
"PR_ПОЛОЖЕНИЕ ПЕДАЛИ (ПОЛОСА 2)","PR029","21A2","100*(1.0*L)/256","4.98","95","%","7E0"
"PR_НАПРЯЖЕНИЕ ВЕРХН. ДАТЧ. КИСЛОРОДА","PR098","21A4","9.76*A","19","1395","mV","7E0"
"PR_НАПРЯЖ. НИЖН. ДАТЧИКА КИСЛОРОДА","PR099","21A4","9.76*H","19","1395","mV","7E0"
"PR_ПОТЕРЯ КРУТЯЩЕГО МОМЕНТА","PR100","21A9","0.1*(signed(G)*256+H)","-3277","3277","Nm","7E0"
"PR_КРУТЯЩИЙ МОМЕНТ ДВИГАТЕЛЯ","PR015","21A5","2*A-100","-50","200","Nm","7E0"
"PR_ПРОДОЛЖИТЕЛЬНОСТЬ ВПРЫСКА","PR101","21A3","0.0032*(A*256+B)","0","0","ms","7E0"
"PR_МГНОВЕННЫЙ РАСХОД ТОПЛИВА ЗА ЕД ВРЕМЕНИ","PR103","21A9","(1.0*((A*256+B)))/100","0","50","l/h","7E0"
"PR_ОТН. Ц. ОТКР. ЭМ. КЛ. ПР. Ф. ПАРОВ ТОПЛ.","PR102","21A3","0.0039*E","0","100","%","7E0"
"PR_ДАВЛЕНИЕ НАДДУВА","PR041","21A0","0.0578125*(N*256+O)+103","120","2200","мбар","7E0"
"PR_СЦО ЭЛЕКТРОМАГ. КЛАПАНА РЕГ. ДАВ. НАДДУВ","PR846","21A0","(1.0*(100*R))/256","0","100","%","7E0"
"PR_СЧЕТЧ. КМ ПРОБЕГА ПРИ ВКЛ. ИНДИК. НЕИСПР.","PR106","21A1","0.0711*(N*256+O)","0","0","km","7E0"
"PR_СЧЕТЧИК ПРОБЕГА С ВКЛ. ИНДИК. НЕИСПР. OBD","PR105","21A6","(O*256+P)","0","0","km","7E0"
"PR_ДАВЛЕНИЕ ХЛАДАГЕНТА","PR037","21C1","2*(1.0*J)/10","0","25","bar","7E0"
"PR_СРЕДНИЙ ПЕРИОД ВЕРХНЕГО ДАТЧИКА","PR121","21A4","16*B","0","0","ms","7E0"
"PR_ОЦЕН. КРУТЯЩ. МОМЕНТ ДВИГ. ПО ЗАД. ВОДИТ.","PR123","21A5","2*B-100","0","200","Nm","7E0"
